loan_id,borrower_id,borrower_name,original_principal,current_balance,interest_rate,origination_date,maturity_date,loan_term_months,payment_status,days_past_due,property_state,loan_purpose,property_type,credit_score,ltv_ratio,dti_ratio,document_status,last_updated_at,source_system,servicer_name
LN-000035,BR-002008,Rahul Sethi,480066.67,443491.96,14.049,2025-08-19,2045-08-19,240,Current,0,VA,Refinance,Townhouse,625,0.8036,0.4879,Complete,2026-07-05T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000036,BR-001006,Meera Pillai,420238.32,280758.72,13.139,2021-03-11,2046-03-12,300,30-59 Days,37,WI,Construction,Townhouse,666,0.4158,0.4478,Complete,2026-07-03T09:00:00Z,OriginationCore,ServicerX
LN-000037,BR-002277,Priya Desai,339288.02,291285.84,13.903,2023-07-05,2043-07-05,240,Default,202,KS,Construction,Townhouse,722,0.817,0.3917,Complete,2026-08-09T09:00:00Z,OriginationCore,MeridianServicing
LN-000038,BR-002383,Aditya Banerjee,129095.35,110297.3,9.365,2026-03-19,2051-03-20,300,Current,0,NV,CashOutRefi,MultiFamily,759,0.6496,0.2573,Complete,2026-08-07T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000039,BR-000785,Sneha Banerjee,151621.53,134240.16,6.18,2022-11-13,2037-11-13,180,Current,0,CT,Refinance,MultiFamily,638,0.5985,0.2558,Complete,2026-08-15T09:00:00Z,OriginationCore,ServicerX
LN-000040,BR-002011,Rahul Sharma,878150.69,752455.41,9.602,2025-11-23,2045-11-23,240,Current,0,NM,Construction,MultiFamily,627,0.931,0.2384,Pending,2026-08-18T09:00:00Z,OriginationCore,ServicerX
LN-000041,BR-000612,Riya Joshi,467984.58,574438.6,3.98,2021-11-29,2031-11-29,120,Current,0,DE,Construction,Condo,778,0.6874,0.3077,Complete,2026-08-17T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000042,BR-000852,Sneha Pillai,533335.05,518640.53,10.595,2022-12-25,2047-12-26,300,Current,0,KS,Refinance,SingleFamily,620,0.4015,0.3077,Complete,2026-08-20T09:00:00Z,OriginationCore,MeridianServicing
LN-000043,BR-000957,Divya Menon,294889.16,273724.07,10.604,2023-10-23,2033-10-22,120,Current,0,NV,Purchase,Condo,745,0.4819,0.243,Complete,2026-08-22T09:00:00Z,OriginationCore,ServicerX
LN-000044,BR-000510,Tara Joshi,555787.43,530957.47,11.047,2022-12-16,2037-12-16,180,60-89 Days,68,NC,Construction,Townhouse,600,0.7289,0.4613,Complete,2026-07-29T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000045,BR-002357,Riya Sharma,127627.85,0.0,14.495,2026-02-12,2046-02-12,240,Closed,0,OR,Purchase,Condo,700,0.6854,0.3048,Complete,2026-07-04T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000046,BR-000429,Vikram Verma,873696.95,637513.22,7.734,2020-11-21,2045-11-22,300,Current,0,ME,Construction,SingleFamily,696,0.4484,0.2383,Complete,2026-08-06T09:00:00Z,OriginationCore,MeridianServicing
LN-000047,BR-002124,Aditya Trivedi,609011.33,445692.11,11.699,2026-05-24,2056-05-24,360,Current,0,WI,Purchase,Condo,648,0.7021,0.4747,Complete,2026-08-14T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000048,BR-000649,Rohan Kulkarni,74539.03,67211.7,3.157,2025-01-16,2050-01-17,300,Current,0,CO,Refinance,SingleFamily,698,0.9209,0.3767,Complete,2026-07-12T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000049,BR-000999,Tara Kulkarni,649599.89,495189.88,4.663,2020-09-12,2040-09-12,240,Current,0,ZZ,Refinance,SingleFamily,650,0.825,0.449,Complete,2026-07-27T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000050,BR-002006,Ananya Gupta,290413.14,234727.17,9.194,2026-05-18,2046-05-18,240,Current,0,MI,Construction,Townhouse,818,0.577,0.216,Complete,2026-07-15T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000051,BR-001562,Nisha Kapoor,777611.03,536549.73,8.696,2023-10-15,2048-10-15,300,Current,0,FL,CashOutRefi,SingleFamily,803,0.8648,0.1849,Pending,2026-07-27T09:00:00Z,OriginationCore,ServicerX
LN-000052,BR-001924,Divya Verma,790293.03,0.0,10.167,2021-10-22,2036-10-22,180,Closed,0,TN,Purchase,MultiFamily,798,0.7709,0.3368,Missing,2026-08-22T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000053,BR-000932,Meera Sethi,574840.54,489267.37,14.251,2026-01-01,2051-01-02,300,Current,0,NH,Refinance,MultiFamily,811,0.4159,0.2635,Complete,2026-08-08T09:00:00Z,OriginationCore,MeridianServicing
LN-000054,BR-000738,Vikram Mehta,173734.33,138815.18,3.908,2021-07-29,2041-07-29,240,Current,0,SC,Refinance,Townhouse,813,0.7207,0.2313,Complete,2026-07-07T09:00:00Z,OriginationCore,MeridianServicing
LN-000055,BR-000648,Meera Gupta,814072.25,550767.04,13.87,2026-04-20,2046-04-20,240,Current,0,SD,Construction,MultiFamily,696,0.8649,0.2197,Complete,2026-07-23T09:00:00Z,OriginationCore,MeridianServicing
LN-000056,BR-001210,Priya Malhotra,374159.65,254497.35,6.157,2023-09-30,2033-09-29,120,Current,0,RI,Construction,MultiFamily,778,0.8394,0.3625,Complete,2026-07-13T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000057,BR-000561,Rahul Iyer,626099.79,525948.79,6.553,2023-08-06,2038-08-06,180,30-59 Days,44,AZ,CashOutRefi,Condo,603,0.9003,0.2644,Complete,2026-07-04T09:00:00Z,OriginationCore,ServicerX
LN-000058,BR-000674,Divya Banerjee,501224.52,0.0,14.125,2022-04-21,2037-04-21,180,Paid Off,0,WV,CashOutRefi,SingleFamily,699,0.9296,0.1993,Missing,2026-07-04T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000059,BR-001863,Aditya Pillai,126757.44,84466.31,9.722,2022-04-21,2047-04-22,300,Current,0,CT,Refinance,Townhouse,586,0.7408,0.4801,Complete,2026-08-19T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000060,BR-001673,Rahul Kapoor,590093.33,506579.75,3.521,2025-09-12,2040-09-12,180,Current,0,MD,Construction,SingleFamily,604,0.5291,0.3381,Complete,2026-07-16T09:00:00Z,OriginationCore,MeridianServicing
LN-000061,BR-000406,Dev Trivedi,549239.29,516055.39,7.693,2021-09-15,2051-09-16,360,30-59 Days,38,AZ,CashOutRefi,Condo,693,0.6446,0.2326,Complete,2026-07-16T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000062,BR-001863,Meera Bose,101467.58,99033.48,10.38,2022-05-20,2042-05-20,240,Current,0,AR,CashOutRefi,Condo,612,0.8328,0.2218,Pending,2026-07-03T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000063,BR-000012,Divya Kapoor,741095.03,660109.78,14.357,2023-12-26,2038-12-26,180,Current,0,ID,Purchase,SingleFamily,613,0.4082,0.4265,Complete,2026-07-07T09:00:00Z,OriginationCore,MeridianServicing
LN-000064,BR-000261,Dev Gupta,275562.38,202599.7,11.947,2024-06-14,2034-06-14,120,Current,0,NH,Refinance,SingleFamily,766,0.8308,0.4534,Complete,2026-08-19T09:00:00Z,OriginationCore,MeridianServicing
LN-000065,BR-002009,Tara Nair,898798.74,$118500,13.342,2025-09-21,2035-09-21,120,90+ Days,131,RI,Refinance,SingleFamily,612,0.5513,0.3716,Complete,2026-08-20T09:00:00Z,OriginationCore,MeridianServicing
LN-000066,BR-000469,Siddharth Bose,435658.1,258623.43,7.946,2023-02-06,2048-02-07,300,Current,0,NE,CashOutRefi,Townhouse,682,0.6288,0.1833,Complete,2026-07-13T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000067,BR-000350,Meera Sethi,860553.64,652883.0,4.11,2022-03-17,2042-03-17,240,Current,0,FL,Purchase,MultiFamily,751,0.4672,0.2738,Complete,2026-08-21T09:00:00Z,OriginationCore,MeridianServicing
LN-000068,BR-000634,Dev Chauhan,560348.58,450679.48,12.744,2023-03-07,2033-03-06,120,Current,0,OK,CashOutRefi,SingleFamily,775,0.5532,0.2292,Complete,2026-08-13T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000069,BR-000739,Divya Joshi,567645.68,485409.33,13.598,2026-02-10,2056-02-11,360,Current,0,AL,Refinance,Condo,724,0.7615,0.1744,Complete,2026-08-25T09:00:00Z,OriginationCore,ServicerX
LN-000070,BR-001329,Riya Trivedi,369765.24,228980.85,3.977,2023-12-29,2033-12-28,120,Current,0,GA,Refinance,SingleFamily,752,0.4449,0.3051,Complete,2026-08-07T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000071,BR-000455,Rohan Menon,282191.82,169337.58,8.596,2021-10-05,2046-10-06,300,30-59 Days,51,MD,Purchase,Condo,681,0.9414,0.1692,Complete,2026-07-30T09:00:00Z,OriginationCore,ServicerX
LN-000072,BR-000720,Ananya Malhotra,296030.06,227602.58,9.125,2023-07-17,2038-07-17,180,Current,0,NC,CashOutRefi,SingleFamily,681,0.874,0.1648,Complete,2026-07-30T09:00:00Z,OriginationCore,ServicerX
LN-000073,BR-001660,Priya Verma,537389.73,394328.71,4.977,2021-08-04,2041-08-04,240,30-59 Days,49,NJ,CashOutRefi,SingleFamily,691,0.8645,0.2352,Complete,2026-08-19T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000074,BR-000689,Meera Desai,789945.75,511483.32,10.282,2021-12-19,2031-12-19,120,30-59 Days,46,NC,Refinance,MultiFamily,669,0.8001,0.4366,Pending,2026-07-08T09:00:00Z,OriginationCore,ServicerX
LN-000075,BR-000309,Vikram Banerjee,267572.99,165162.83,8.335,2024-10-06,2034-10-06,120,Current,0,UT,CashOutRefi,MultiFamily,618,0.6419,0.3141,Complete,2026-07-09T09:00:00Z,OriginationCore,MeridianServicing
LN-000076,BR-000234,Aditya Joshi,349150.89,262968.82,3.882,2025-10-10,2055-10-11,360,Current,0,SC,Construction,Townhouse,728,0.7049,0.4271,Pending,2026-08-24T09:00:00Z,OriginationCore,MeridianServicing
LN-000077,BR-001846,Rahul Verma,323297.75,199273.9,14.297,2024-04-17,2054-04-18,360,Current,0,NC,Refinance,SingleFamily,643,0.7892,0.4968,Complete,2026-08-23T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000078,BR-000215,Ishita Nair,366924.18,-17114.87,6.791,2022-04-29,2037-04-29,180,Current,0,ME,CashOutRefi,Condo,665,0.4448,0.3823,Pending,2026-08-05T09:00:00Z,OriginationCore,MeridianServicing
LN-000079,BR-002290,Nisha Verma,555785.04,0.0,12.352,2024-12-16,2049-12-17,300,Paid Off,0,TN,Construction,MultiFamily,584,0.5994,0.2131,Complete,2026-08-07T09:00:00Z,OriginationCore,MeridianServicing
LN-000080,BR-000415,Kavya Kulkarni,899980.13,612120.16,12.604,2023-11-13,2038-11-13,180,Current,0,TX,CashOutRefi,Condo,732,0.6072,0.2068,Pending,2026-07-07T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000081,BR-001168,Tara Chauhan,87138.56,75515.82,9.141,2021-07-01,2036-07-01,180,Current,0,NM,Refinance,MultiFamily,753,0.9209,0.4946,Complete,2026-07-29T09:00:00Z,OriginationCore,MeridianServicing
LN-000082,BR-000818,Aman Kapoor,498340.82,0.0,13.04,2020-10-07,2045-10-08,300,Closed,0,TN,Construction,MultiFamily,721,0.9139,0.399,Complete,2026-07-05T09:00:00Z,OriginationCore,ServicerX
LN-000083,BR-001792,Meera Chauhan,698649.31,662553.41,12.392,07-31-2024,2045-06-19,240,Current,0,AK,Construction,SingleFamily,681,0.6761,0.2325,Missing,2026-08-17T09:00:00Z,OriginationCore,MeridianServicing
LN-000084,BR-000599,Ananya Iyer,320882.14,277392.95,6.299,2026-02-02,2041-02-02,180,Current,0,VT,Refinance,Townhouse,694,0.7384,0.4671,Complete,2026-08-05T09:00:00Z,OriginationCore,ServicerX
LN-000085,BR-000977,Manav Trivedi,144508.83,98628.22,8.257,2021-08-29,2036-08-29,180,Current,0,NY,Purchase,Condo,763,0.479,0.3002,Complete,2026-08-23T09:00:00Z,OriginationCore,ServicerX
LN-000086,BR-000278,Kavya Kulkarni,209216.83,163258.84,8.834,2021-09-25,2051-09-26,360,Current,0,MO,Construction,SingleFamily,742,0.6128,0.2807,Complete,2026-08-03T09:00:00Z,OriginationCore,MeridianServicing
LN-000087,BR-001362,Ananya Iyer,254957.04,151855.5,7.051,2022-07-16,2032-07-15,120,Current,0,TN,Refinance,Townhouse,758,0.6632,0.2138,Complete,2026-07-20T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000088,BR-001293,Rohan Desai,299426.19,190964.06,7.58,2025-12-28,2050-12-29,300,Current,0,KY,Purchase,Condo,653,0.5963,0.4233,Pending,2026-08-24T09:00:00Z,OriginationCore,MeridianServicing
LN-000089,BR-001584,Ishita Mehta,729441.05,529581.19,8.706,2025-01-04,2045-01-04,240,Current,0,MS,CashOutRefi,SingleFamily,766,0.6335,0.3007,Missing,2026-07-29T09:00:00Z,OriginationCore,ServicerX
LN-000090,BR-001827,Aman Sethi,323029.71,271604.82,4.916,2023-02-10,2053-02-10,360,Current,0,MN,Construction,SingleFamily,766,0.8785,0.2734,Missing,2026-08-07T09:00:00Z,OriginationCore,MeridianServicing
LN-000091,BR-000656,Priya Kapoor,620506.31,481362.64,12.76,2025-07-25,2035-07-25,120,Current,0,AZ,Refinance,SingleFamily,640,0.8282,0.2782,Complete,2026-07-10T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000092,BR-001819,Meera Menon,627202.75,0.0,4.583,2024-09-07,2034-09-07,120,Paid Off,0,MT,CashOutRefi,MultiFamily,643,0.9283,0.1591,Complete,2026-08-03T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000093,BR-001170,Dev Bose,272510.18,203390.74,4.41,2025-01-31,2050-02-01,300,Current,0,NH,Refinance,Townhouse,602,0.8458,0.4886,Missing,2026-07-18T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000094,BR-000714,Aditya Desai,517497.58,352923.49,5.579,2025-09-05,2045-09-05,240,Current,0,FL,Refinance,Townhouse,586,0.5985,0.3503,Complete,2026-08-16T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000095,BR-002154,Manav Sethi,105885.89,91639.03,12.468,2025-06-09,2040-06-09,180,Current,0,FL,CashOutRefi,SingleFamily,695,0.6562,0.3311,Complete,2026-07-27T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000096,BR-000227,Rahul Desai,702614.39,541898.42,4.76,2024-05-13,2054-05-14,360,Current,0,HI,CashOutRefi,Condo,668,0.9211,0.3316,,2026-07-02T09:00:00Z,OriginationCore,ServicerX
LN-000097,BR-002186,Meera Desai,589798.53,356872.3,10.371,2024-03-15,2044-03-15,240,Current,0,HI,CashOutRefi,SingleFamily,791,0.8751,0.1784,Pending,2026-08-07T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000098,BR-002235,Rohan Joshi,701915.15,583401.08,8.554,2024-01-16,2044-01-16,240,Current,0,MD,Construction,SingleFamily,756,0.433,0.3039,Complete,2026-07-26T09:00:00Z,OriginationCore,ServicerX
LN-000099,BR-001415,Nisha Kapoor,315695.12,275616.96,11.748,2024-10-17,2044-10-17,240,30-59 Days,46,OK,Purchase,MultiFamily,641,0.6566,0.2436,Complete,2026-07-02T09:00:00Z,OriginationCore,ServicerX
LN-000100,BR-000655,Ishita Menon,853577.16,626507.96,11.293,2023-02-25,2033-02-24,120,90+ Days,114,WI,Refinance,Townhouse,711,0.6567,0.4577,Complete,2026-07-02T09:00:00Z,OriginationCore,ServicerX
LN-000101,BR-000208,Rohan Banerjee,438646.05,353843.23,9.871,2020-09-26,2045-09-27,300,Current,0,ME,Purchase,SingleFamily,690,0.4737,0.2426,Complete,2026-08-23T09:00:00Z,OriginationCore,MeridianServicing
LN-000102,BR-001183,Meera Malhotra,390494.38,248217.1,8.799,2025-11-24,2045-11-24,240,Current,0,SC,Purchase,Condo,604,0.6166,0.4282,Complete,2026-07-22T09:00:00Z,OriginationCore,MeridianServicing
LN-000103,BR-000562,Ishita Banerjee,562093.51,319107.32,8.972,2024-03-04,2039-03-05,180,Current,0,RI,Refinance,MultiFamily,818,0.7372,0.2069,Missing,2026-08-24T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000104,BR-001228,Dev Sharma,481217.74,368387.83,7.236,2022-08-20,2042-08-20,240,Current,0,NE,CashOutRefi,SingleFamily,732,0.661,0.4885,Complete,2026-07-21T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000105,BR-001558,Ananya Chauhan,663190.1,414510.6,3.363,2023-11-08,2053-11-08,360,Current,0,IL,Purchase,Townhouse,660,0.6303,0.2945,Complete,2026-07-17T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000106,BR-002125,Sneha Kulkarni,791895.05,457243.18,6.738,2021-02-12,2051-02-13,360,30-59 Days,51,NM,Construction,MultiFamily,624,0.6528,0.3366,Complete,2026-08-18T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000107,BR-001220,Rohan Bose,213424.54,169791.63,10.938,2020-12-22,2040-12-22,240,Current,0,MA,Construction,MultiFamily,723,0.9135,0.4284,Complete,2026-08-12T09:00:00Z,OriginationCore,ServicerX
LN-000108,BR-000600,Rohan Iyer,811396.39,569486.07,6.308,2022-02-23,2052-02-24,360,Current,0,MN,Construction,MultiFamily,771,0.6635,0.2207,Complete,2026-07-08T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000109,BR-002176,Karan Chauhan,142842.59,93602.48,3.604,2024-11-12,2044-11-12,240,30-59 Days,43,MI,Construction,SingleFamily,754,0.8239,0.1518,Complete,2026-08-23T09:00:00Z,OriginationCore,ServicerX
LN-000110,BR-001170,Arjun Nair,455831.24,444035.32,10.501,2021-01-26,2046-01-27,300,Current,0,OH,Purchase,Condo,686,0.8852,0.2115,Pending,2026-08-06T09:00:00Z,OriginationCore,MeridianServicing
LN-000111,BR-000154,Priya Joshi,846117.43,0.0,9.532,2024-04-25,2049-04-26,300,Closed,0,MI,CashOutRefi,Townhouse,744,0.6988,0.3229,Pending,2026-08-08T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000112,BR-001054,Vikram Sharma,213889.69,132931.9,11.471,2023-05-07,2048-05-07,300,Current,0,OR,Refinance,Condo,736,0.8709,0.464,Pending,2026-07-28T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000113,BR-001326,Karan Sharma,390708.26,383652.65,5.999,2025-06-07,2045-06-07,240,Current,219,NH,CashOutRefi,MultiFamily,657,0.7204,0.3505,Complete,2026-07-27T09:00:00Z,OriginationCore,MeridianServicing
LN-000114,BR-002059,Rohan Reddy,617618.2,383093.38,10.345,2025-09-16,2040-09-16,180,Current,0,MS,Refinance,Condo,614,0.663,0.3092,Missing,2026-07-14T09:00:00Z,OriginationCore,MeridianServicing
LN-000115,BR-001014,Aman Nair,693747.94,633576.09,9.043,2021-02-15,2046-02-16,300,60-89 Days,76,VA,CashOutRefi,SingleFamily,814,0.7103,0.1716,Complete,2026-07-09T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000116,BR-000842,Riya Banerjee,189856.58,141331.11,4.046,2024-09-22,2039-09-23,180,90+ Days,155,NH,Purchase,Townhouse,613,0.6823,0.3099,Complete,2026-07-14T09:00:00Z,OriginationCore,MeridianServicing
LN-000117,BR-000300,Arjun Sethi,386556.4,339456.04,6.962,2026-02-28,2046-02-28,240,60-89 Days,62,OH,Purchase,SingleFamily,819,0.6596,0.2505,Complete,2026-07-20T09:00:00Z,OriginationCore,ServicerX
